Name,Hybrid,Indica,Satvia,Happy,Euphoric,Uplifted,Relaxed,Creative,Paranoid,Anxious,Tingly,Sleepy,Energetic,Dry Mouth,Talkative,Hungry,Focused,Citrus,Earthy,Sweet,Pine,Lemon,Lavender,THC,CBD
100 OG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,24%,0
A-10,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,10%,0
Acapulco Gold,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,14.14%,< 0.01%
Afghani Bullrider,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,15%,2%
Afghan Big Bud,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,12%,1%
Afghani,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,16%,1%
Afghooey,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,28%,0%
Afgoo,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,16.65%,0.22%
Afgooey,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,25%,1%
Alaskan Thunder Fuck,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,16%,0%
Aloha,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,18%,0%
Amnesia Haze,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,17.57%,< 0.01%
Anesthesia,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,19%,0%
BC Sweet Tooth,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,10%,0%